"id","name","description","project"
"1c195a48-cd0b-4154-b2f9-5ace11249d4b","BS: Inspecting camera","Inspecting camera trap","0e0508af-d3dc-4be6-9806-dbdba5ec3368"
"dba9077d-34e3-4af2-acc6-1527fde197b1","BS: Traveling","Traveling through frame (not looking for food) quadrepedally","0e0508af-d3dc-4be6-9806-dbdba5ec3368"
"27a944b1-fcef-473c-838e-0910457abe74","F: Anvil debris","Foraging opened food at anvil when tool user not there (also applies to other species)","0e0508af-d3dc-4be6-9806-dbdba5ec3368"
"f589f5c5-2822-4731-a638-1a0389e7b77f","BS: Submissive","Being fearful or submissive toward an aggressive individual","0e0508af-d3dc-4be6-9806-dbdba5ec3368"
"246c3966-3a46-4509-96a9-23ba74a48c25","BS: Self-grooming","Grooming own body","0e0508af-d3dc-4be6-9806-dbdba5ec3368"
"e70b7d5e-fae0-4b8c-8710-a3261e93ec07","XX: SEQUENCE CONTINUE","sequence continues from previous one","0e0508af-d3dc-4be6-9806-dbdba5ec3368"
"3e64a607-ad85-4c16-9916-febacf523da9","BS: Aggression","Being aggressive towards another capuchin (or species), including supplanting","0e0508af-d3dc-4be6-9806-dbdba5ec3368"
"e3de4e1c-a9fd-4ee7-a7f9-8c5a59eceaba","TAF: Almendra","Foraging w/ stone tool: Terminalia catappa/sea almond","0e0508af-d3dc-4be6-9806-dbdba5ec3368"
"8076c135-8b4e-4994-8695-fc34df3a5422","BS: Tolerated scrounging","Individual takes food to eat from another individual (both tool use and regular foraging) and is tolerated. Add in comment if it appears to be intentional food sharing (i.e. handing over)","0e0508af-d3dc-4be6-9806-dbdba5ec3368"
"e1748242-8bea-42be-8b73-667a6dea8004","TBS: Social attention","Interest/peering toward another individual foraging/tool using at anvil","0e0508af-d3dc-4be6-9806-dbdba5ec3368"
"c70786e0-c28c-4817-a1f3-9259be1134d1","BS: Sitting","Sitting still","0e0508af-d3dc-4be6-9806-dbdba5ec3368"
"fb01d2fc-cc65-43a0-9a72-b3fdc7fe21ff","F: Unknown","Foraging unknown object","0e0508af-d3dc-4be6-9806-dbdba5ec3368"
"d30c9beb-bb50-4c9e-ab2d-25537e8e3422","L: Trees","Capuchin is in trees/not on ground for at least half sequence","0e0508af-d3dc-4be6-9806-dbdba5ec3368"
"aa22f9cf-9684-4f45-bae4-1478a5e68064","BS: Infant Care","Traveling w/ dorsal infant or nursing","0e0508af-d3dc-4be6-9806-dbdba5ec3368"
"afcd2d1f-f739-4cd3-a17e-359aac477df9","BS: Visually foraging","Looking around leaves/sticks/stream/leaf litter for food","0e0508af-d3dc-4be6-9806-dbdba5ec3368"
"20e02188-4c9c-4d5e-b7ae-7d82a1cf7e4c","TBS: Food transport","Transport SP foods to hammerstone on 3/4 limbs","0e0508af-d3dc-4be6-9806-dbdba5ec3368"
"93123f22-937c-46fe-90f9-adf2cf45911b","F: Fruit","Foraging fruit (comment if known)","0e0508af-d3dc-4be6-9806-dbdba5ec3368"
